"Person","Count_Pubs","Count_CT","Count_Grants","Grant_Sums","Count_Patents","asci_year"
"adam asch",12,0,2,3061377,1,1995
"alan d'andrea",97,0,4,24246380,0,1995
"alan hillman",26,0,2,780676,0,1995
"alan yu",107,3,6,21174307,0,2010
"ali gharavi",109,0,11,115293829,7,2010
"alice pentland",28,2,3,3395941,1,1995
"allan weissman",46,0,0,0,6,1995
"andre veillette",68,0,6,1346803,0,1995
"andrew kung",231,0,4,1359419,7,2010
"andrew marks",124,0,7,28924660,79,1995
"anthony cerami",60,0,0,0,69,1995
"benjamin chen",87,0,5,5240987,0,2010
"bishr omary",85,0,7,11796737,0,1995
"bjorn knollmann",199,1,11,14337561,2,2010
"bradford berk",166,0,8,35289157,5,1995
"brian kobilka",115,0,3,4251971,9,1995
"bruce cronstein",52,0,4,6420051,16,1995
"carolyn kelly",25,0,1,2202905,2,1995
"catherine bollard",364,6,13,52882161,44,2010
"charleen chu",84,0,2,3618957,2,2010
"charles eberhart",413,0,3,2219214,3,2010
"charles esmon",115,0,2,26630612,3,2010
"charles roberts",95,0,1,3755298,0,2010
"charles rudin",381,3,13,44416151,24,2010
"charles stevens",77,0,0,0,0,1995
"christine cartwright",11,0,1,1399883,0,1995
"christopher glass",114,0,11,235483550,2,1995
"constantine stratakis",509,0,2,69233872,7,2010
"daniel benjamin",205,3,5,345558567,0,2010
"daniel drucker",128,0,15,5882587,5,1995
"daniel goldberg",87,0,1,2589619,0,1995
"daniel goldstein",66,0,8,9858076,0,2010
"daniel haber",102,0,6,65841917,49,1995
"daniel kastner",90,1,0,0,3,1995
"daniel schuster",65,0,3,3401317,0,1995
"david andes",233,0,6,55294694,3,2010
"david kwiatkowski",121,0,3,2258060,6,1995
"david schwartz",242,0,16,30865736,15,1995
"donald mcclain",42,0,4,6507658,0,1995
"douglas bradley",61,1,2,29083,0,1995
"dwight gary gilliland",0,0,5,54916604,0,1995
"edison liu",122,0,1,0,5,1995
"edward sander connolly",382,3,4,11442847,0,2010
"emily cheng",86,0,1,2710830,15,2010
"erkki ruoslahti",99,0,15,46963126,1,1995
"ernesto bernal-mizrachi",45,0,4,495000,0,2010
"ethylin jabs",95,0,5,16654901,0,1995
"evan rosen",51,0,4,22568921,0,2010
"fabio cominelli",84,0,7,20132352,3,1995
"feroz papa",33,0,10,30926258,30,2010
"francisco esteva",134,1,1,2767516,0,2010
"franck mauvais-jarvis",100,1,5,1619036,0,2010
"fredric wondisford",50,0,6,14779322,1,1995
"fuad ziyadeh",89,0,1,1232066,0,1995
"garry cutting",74,1,1,8883919,0,1995
"gary luker",120,1,8,17571151,1,2010
"george palade",15,0,0,0,0,1995
"gerhard giebisch",172,0,1,1137663,0,1995
"graham barr",410,0,6,12101229,0,2010
"gregg semenza",170,0,2,25579049,25,1995
"hideho okada",165,3,11,11358573,79,2010
"hiroaki mitsuya",225,0,19,10434190,16,1995
"howard lippton",20,0,0,0,0,1995
"ida sim",54,1,4,17530629,0,2010
"jack leahy",24,0,0,0,0,1995
"james covell",30,0,1,250000,0,1995
"james fagin",85,0,2,10824924,7,1995
"james hsieh",159,4,2,746254,6,2010
"james krueger",64,5,4,4802583,5,1995
"james lewis",367,5,12,11959705,8,2010
"james paulson",49,0,5,120621453,6,1995
"james schafer",29,0,0,0,0,1995
"jay heinecke",122,0,8,56453093,31,1995
"jeffrey cohen",116,3,0,0,7,1995
"jeremy reiter",73,0,8,24498884,0,2010
"john belmont",70,0,4,14787181,6,1995
"john chute",87,0,4,11425214,15,2010
"john griffin",121,0,2,3382256,27,1995
"john raymond",78,0,10,10527580,0,1995
"john tisdale",190,2,0,0,2,2010
"jonathan dranoff",64,1,0,0,0,2010
"jonathan powell",153,0,4,20208683,45,2010
"jonathan stamler",133,0,4,31487345,225,1995
"jordan orange",339,0,2,6503360,7,2010
"joshua nosanchuk",197,0,3,537652,5,2010
"juan celedon",98,3,5,12353173,0,2010
"karl nath",64,0,2,4630315,0,1995
"keith elkon",72,0,3,4046404,4,1995
"kenneth bridges",19,0,0,0,2,1995
"kimberly stegmaier",118,0,8,15025087,21,2010
"kirsten bibbins-domingo",247,0,14,164795706,0,2010
"laura haneline",35,0,2,6379521,0,2010
"laurence turka",130,0,7,39079330,0,1995
"lewis rubin",114,2,0,0,0,1995
"linden hu",49,0,12,20624590,10,2010
"loren walensky",104,0,11,13532094,208,2010
"lucila ohno-machado",299,0,17,151658408,0,2010
"marcel behr",115,0,8,10005059,0,2010
"marcus bosenberg",158,0,6,8485639,0,2010
"maria abreu",247,3,6,6057593,0,2010
"mariana kaplan",189,0,1,0,0,2010
"mary dinauer",106,0,3,6794909,0,1995
"maura gillison",189,4,3,11277676,0,2010
"mehrdad matloubian",23,0,0,0,0,2010
"michael ackerman",598,3,1,4764465,12,2010
"michael kastan",77,0,5,13403075,17,1995
"michael lieber",109,0,2,8166081,3,1995
"michael mcphaul",49,0,2,2315079,0,1995
"michael wessels",51,0,2,3434871,9,1995
"morris birnbaum",80,0,5,21468816,2,1995
"muredach reilly",271,1,9,29224011,0,2010
"murray grossman",79,0,5,52113645,0,1995
"myles wolf",221,1,6,11504283,6,2010
"nicole lurie",104,0,5,6857450,0,1995
"nikolaos frangogiannis",122,0,5,6707181,0,2010
"palmer taylor",104,0,4,6151479,6,1995
"paul goepfert",119,3,5,26346845,0,2010
"paul sanders",50,0,0,0,0,1995
"paul taylor",66,0,2,22094600,4,2010
"peter arvan",41,0,1,3523858,0,1995
"peter st. george-hyslop",217,0,15,4464758,12,1995
"raghavendra mirmira",129,0,8,26165892,8,2010
"raghu kalluri",143,0,15,26379601,66,2010
"raymond adams dudley",119,1,4,5268494,0,2010
"rhonda souza",190,0,4,3595235,0,2010
"richard  anderson",203,0,0,0,62,1995
"richard blumberg",135,0,8,19059178,66,1995
"richard johnson",211,0,3,10297429,28,1995
"richard malley",55,0,5,9450656,82,2010
"roberto ariel gomez",51,0,4,13614340,0,1995
"roger pomerantz",167,0,10,12838919,25,1995
"russ carstens",32,0,5,5591709,0,2010
"samuel hawgood",53,0,2,4586463,0,1995
"samuel stanley",49,0,2,82093758,9,1995
"samuel wickline",142,0,4,33655424,61,1995
"sanford markowitz",92,0,5,29386500,41,1995
"scott armstrong",228,0,8,31600522,34,2010
"scott friedman",132,0,4,9428858,15,1995
"shannon kenney",42,0,0,0,0,1995
"sridhar ramaswamy",233,0,3,3495609,7,2010
"stefan karlsson",89,0,0,0,0,1995
"stephen heinemann",59,0,3,15122880,0,1995
"stephen wank",24,0,5,0,0,1995
"steven albelda",128,0,4,72821886,15,1995
"suzanne ildstad",102,3,9,13294233,34,1995
"terrie inder",180,3,6,8280321,0,2010
"thomas lee",278,0,1,1927391,0,1995
"thomas pallone",40,0,5,43514220,0,1995
"thomas wang",534,2,7,16448672,21,2010
"timothy murphy",139,0,3,2598424,0,1995
"tzung hsiai",152,0,9,15879794,10,2010
"upinder singh",97,1,14,11875639,0,2010
"vikas sukhatme",75,0,6,6841057,96,1995
"webster cavenee",102,0,1,20339168,0,1995
"wilbur lew",21,0,0,0,0,1995
"william carroll",50,0,1,843900,4,1995
"william kane",23,0,2,1504196,0,1995
"william petri jr.",103,0,11,112704280,1,1995
"william robinson",237,1,11,10310162,88,2010
"yiping yang",161,0,3,4747400,6,2010
